Model,Task,RMSE,MAE,R²,ROC-AUC,F1,Precision,Recall
Linear Regression,Regression,25.26899876609791,19.973331351600276,0.6914607535285175,,,,
Random Forest Reg,Regression,25.663207760183443,20.305165034569846,0.68175893009997,,,,
Extra Trees Reg,Regression,25.47393179857427,20.23421638984272,0.686435917918722,,,,
Hist Gradient Boosting Reg,Regression,26.14853928886982,20.631470282844784,0.6696082359808817,,,,
MLP (Neural Net),Regression,25.65490857466279,20.31195590595544,0.6819647278043477,,,,
Logistic Regression,Classification,,,,0.9226657770858816,0.6227848101265823,0.7454545454545455,0.5347826086956522
Random Forest Clf,Classification,,,,0.9170206456873865,0.6025974025974026,0.7483870967741936,0.5043478260869565
Extra Trees Clf,Classification,,,,0.9145705919418807,0.5628415300546448,0.7573529411764706,0.44782608695652176
Hist Gradient Boosting Clf,Classification,,,,0.9080432929315394,0.5581395348837209,0.6878980891719745,0.46956521739130436
MLP (Neural Net),Classification,,,,0.9146076578079247,0.639618138424821,0.708994708994709,0.5826086956521739
